Station,Year,Month,monthly_rainfall
Faridpur,1953,11,35.0
Faridpur,1953,12,0.0
Jessore,1953,1,7.0
Jessore,1953,2,81.0
Jessore,1953,3,102.0
Jessore,1953,4,10.0
Jessore,1953,5,181.0
Jessore,1953,6,322.0
Jessore,1953,7,349.0
Jessore,1953,8,476.0
Jessore,1953,9,301.0
Jessore,1953,10,12.0
Jessore,1953,11,20.0
Jessore,1953,12,0.0
Khulna,1953,1,5.0
Khulna,1953,2,2.0
Khulna,1953,3,0.0
Khulna,1953,4,73.0
Khulna,1953,5,107.0
Khulna,1953,6,553.0
Khulna,1953,7,525.0
Khulna,1953,8,278.0
Khulna,1953,9,262.0
Khulna,1953,10,179.0
Khulna,1953,11,34.0
Khulna,1953,12,0.0
M.court,1953,1,0.0
M.court,1953,2,1.0
M.court,1953,3,9.0
M.court,1953,4,63.0
M.court,1953,5,480.0
M.court,1953,6,692.0
M.court,1953,7,845.0
M.court,1953,8,347.0
M.court,1953,9,609.0
M.court,1953,10,258.0
M.court,1953,11,46.0
M.court,1953,12,0.0
Mymensingh,1953,1,20.0
Mymensingh,1953,2,0.0
Mymensingh,1953,3,107.0
Mymensingh,1953,4,229.0
Mymensingh,1953,5,289.0
Mymensingh,1953,6,473.0
Mymensingh,1953,7,407.0
Mymensingh,1953,8,341.0
Mymensingh,1953,9,788.0
Mymensingh,1953,10,179.0
Mymensingh,1953,11,3.0
Mymensingh,1953,12,0.0
Satkhira,1953,1,8.0
Satkhira,1953,2,7.0
Satkhira,1953,3,7.0
Satkhira,1953,4,32.0
Satkhira,1953,5,220.0
Satkhira,1953,6,505.0
Satkhira,1953,7,368.0
Satkhira,1953,8,304.0
Satkhira,1953,9,346.0
Satkhira,1953,10,24.0
Satkhira,1953,11,39.0
Satkhira,1953,12,0.0
Srimangal,1953,1,9.0
Srimangal,1953,2,9.0
Srimangal,1953,3,114.0
Srimangal,1953,4,262.0
Srimangal,1953,5,587.0
Srimangal,1953,6,650.0
Srimangal,1953,7,119.0
Srimangal,1953,8,324.0
Srimangal,1953,9,418.0
Srimangal,1953,10,171.0
Srimangal,1953,11,29.0
Srimangal,1953,12,0.0
Barisal,1954,1,0.0
Barisal,1954,2,3.0
Barisal,1954,3,56.0
Barisal,1954,4,14.0
Barisal,1954,5,70.0
Barisal,1954,6,500.0
Barisal,1954,7,260.0
Barisal,1954,8,360.0
Barisal,1954,9,144.0
Barisal,1954,10,169.0
Barisal,1954,11,1.0
Barisal,1954,12,6.0
Bogra,1954,1,17.0
Bogra,1954,2,19.0
Bogra,1954,3,0.0
Bogra,1954,4,14.0
Bogra,1954,5,145.0
Bogra,1954,6,597.0
Bogra,1954,7,501.0
Bogra,1954,8,283.0
Bogra,1954,9,221.0
Bogra,1954,10,88.0
Bogra,1954,11,0.0
Bogra,1954,12,5.0
Chittagong,1954,1,7.0
Chittagong,1954,2,14.0
Chittagong,1954,3,26.0
Chittagong,1954,4,5.0
Chittagong,1954,5,236.0
Chittagong,1954,6,1270.0
Chittagong,1954,7,488.0
Chittagong,1954,8,1120.0
Chittagong,1954,9,162.0
Chittagong,1954,10,306.0
Chittagong,1954,11,0.0
Chittagong,1954,12,1.0
Comilla,1954,1,6.0
Comilla,1954,2,44.0
Comilla,1954,3,70.0
Comilla,1954,4,106.0
Comilla,1954,5,183.0
Comilla,1954,6,979.0
Comilla,1954,7,389.0
Comilla,1954,8,376.0
Comilla,1954,9,264.0
Comilla,1954,10,238.0
Comilla,1954,11,0.0
Comilla,1954,12,0.0
Cox's Bazar,1954,1,0.0
Cox's Bazar,1954,2,15.0
Cox's Bazar,1954,3,0.0
Cox's Bazar,1954,4,0.0
Cox's Bazar,1954,5,139.0
Cox's Bazar,1954,6,1504.0
Cox's Bazar,1954,7,858.0
Cox's Bazar,1954,8,884.0
Cox's Bazar,1954,9,132.0
Cox's Bazar,1954,10,413.0
Cox's Bazar,1954,11,0.0
Cox's Bazar,1954,12,0.0
Dhaka,1954,1,14.0
Dhaka,1954,2,0.0
Dhaka,1954,3,0.0
Dhaka,1954,4,86.0
Dhaka,1954,5,211.0
Dhaka,1954,6,693.0
